License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
404R-00522,PURE QUALITY EXTRACT LLC,GoStrongHealth,Retail Marijuana Products Mfg,5724 Bueno Drive Unit A,Fort Collins,80525,2025-05-01
404R-00435,QCI LABS LLC,QCi Labs,Retail Marijuana Products Mfg,"5303 Vasquez Boulevard, Unit 102,",Commerce City,80022,2025-05-01
404R-00288,RD INDUSTRIES LLC,Rare Dankness,Retail Marijuana Products Mfg,10555 East 45th Avenue,Denver,80239,2025-05-01
404R-00101,RM CONCEPTS LLC,Tabernash Cannabis,Retail Marijuana Products Mfg,"462 Laredo Street, Unit G",Aurora,80011,2025-05-01
404R-00176,RMZ LLC,None,Retail Marijuana Products Mfg,4875 East 41st Avenue,Denver,80216,2025-05-01
404R-00049,ROCKY MOUNTAIN DISTRIBUTORS LLC,None,Retail Marijuana Products Mfg,1135 South Jason Street,Denver,80223,2025-05-01
404R-00445,SAN JUAN STRAINS INC,None,Retail Marijuana Products Mfg,95 Industrial Circle,Pagosa Springs,81147,2025-05-01
404R-00374,SEVEN LEAVES LLC,None,Retail Marijuana Products Mfg,80 D North Fabrication Drive,Pueblo West,81007,2025-05-01
404R-00270,SEVENSEVEN TWO LLC,None,Retail Marijuana Products Mfg,1255 South Huron Street,Denver,80223,2025-05-01
404R-00443,SHEZMU EXTRACTIONS LTD ,Shezmu Extractions,Retail Marijuana Products Mfg,"4550 Highway 6 & 24, Unit C2",De Beque,81630,2025-05-01
404R-00005,SL Cherokee LLC,Snaxland,Retail Marijuana Products Mfg,1155 South Cherokee Street,Denver,80223,2025-05-01
404R-00559,SMTG HOLDINGS LLC ,None,Retail Marijuana Products Mfg,3375 South Interstate 25,Pueblo,81004,2025-05-01
404R-00094,SOFA KING MEDICINAL WELLNESS PRODUCTS LLC,SKM,Retail Marijuana Products Mfg,1181 County Road 308,Dumont,80436,2025-05-01
404R-00251,SOIKU BANO LLC,Soiku Bano,Retail Marijuana Products Mfg,6115 Washington Street,Denver,80216,2025-05-01
404R-00508,SPHEREX LLC,None,Retail Marijuana Products Mfg,16506 East 2nd Avenue,Aurora,80011,2025-05-01
