Business Name,License Type,City,County,Sales Last Month,Period
Botanical Arts,Tier 1 Producer & Processor,Arlington,"Snohomish county, WA","$168,158",Dec 2022
Olympia Weed Company,Retailer,Olympia,"Thurston county, WA","$168,151",Dec 2022
Better Buds,Retailer,Port Hadlock,"Jefferson county, WA","$167,742",Dec 2022
Saturn Group,Tier 3 Producer,Deming,"Whatcom county, WA","$166,957",Dec 2022
Canna Pacific,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$165,961",Dec 2022
The Happy Crop Shoppe,Retailer,Wenatchee,"Chelan county, WA","$165,686",Dec 2022
Sashas Cannabis,Retailer,Shelton,"Mason county, WA","$165,360",Dec 2022
Afterglow Enterprises,Tier 3 Producer & Processor,Arlington,"Snohomish county, WA","$164,496",Dec 2022
Cannazone,Retailer,Mount Vernon,"Skagit county, WA","$163,720",Dec 2022
Ttl Holdings,Tier 2 Producer & Processor,Seattle,"King county, WA","$163,521",Dec 2022
High End Farms,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$162,484",Dec 2022
Longview Freedom Market,Retailer,Longview,"Cowlitz county, WA","$162,283",Dec 2022
The Kushery,Retailer,Snohomish,"Snohomish county, WA","$161,957",Dec 2022
Pot Zone,Retailer,Tacoma,"Pierce county, WA","$160,874",Dec 2022
The Reef,Retailer,Seattle,"King county, WA","$160,763",Dec 2022
The Kushery,Retailer,Stanwood,"Snohomish county, WA","$160,668",Dec 2022
Pom Cannabis Pullman,Retailer,Pullman,"Whitman county, WA","$160,525",Dec 2022
Budhut,Retailer,Everett,"Snohomish county, WA","$158,812",Dec 2022
Trinidad Productions,Processor,Quincy,"Grant county, WA","$158,119",Dec 2022
